"","WM115","WM1205Lu","WM266-4","WM793"
"O43795",1176.22214203923,793.570508144167,1338.33663568162,2753.32122287363
"O43852",669.315128641759,1021.32232020315,249.905716078965,1341.039280008
"O43865",526.891762519349,341.964394431581,616.654417652129,272.087002320015
"O60488",429.400487165645,587.602815789606,135.752190700089,238.676801505114
"O60506",897.506551724138,447.5175,491.403608334121,716.308939393939
"O60568",203.58509849375,537.946563437659,174.162799851341,925.041987474001
"O60664",151.9,437.843000912611,123.81,104.818333333333
"O60701",165.31,397.770955051786,171.867779158478,284.470557628729
"O60716",1275.03485942608,1120.94595955061,1004.77276700376,819.432550654107
"O60763",44.3,144.481014543029,150.896425044888,126.296946948453
"O60814",171.04272496748,540.255212097931,130.034715838204,602.561938784488
"O60841",259.36,293.098242484178,88.974471895721,159.465
"O60884",105.151876774005,175.77,104.74417217039,190.450182136635
"O60888",94.7735783401979,55.92,88.595,59.225
"O75083",1601.85622903951,1359.21940804837,1382.60034672433,1106.09470889312
"O75116",467.189686694866,302.953380954101,655.197809799216,329.303095219938
"O75131",487.754765053803,528.471604250975,291.322626854017,606.702948414526
"O75165",330.68,175.6785625271,230.386846940491,169.656466695573
"O75340",157.082450651686,297.302415433093,78.4733333333334,155.275730661008
"O75534",414.745294117647,178.08288814988,212.18,154.980392093863
"O75663",82.15,54.87,28.115,72.6870244901618
"O75695",107.502381434846,122.314203844172,127.577907234227,95.2872920152898
"O75874",656.309577960581,509.806122106912,505.885339380425,574.99127644567
"O75955",556.683887581098,245.340254148377,484.42383947353,57.39
"O76071",46.13,43.98,53.5783333333333,50.025
"O76094",145.61,143.551143043485,92.695,162.8
"O94804",334.60947557869,411.211670473987,535.408335569943,366.440715004814
"O94919",383.01,181.875526245418,165.273054454215,320.576785888288
"O94973",524.045605143344,660.498700130674,417.473690101174,470.55712960788
"O95232",106.505,89.345,72.29,197.75
"O95239",397.688804793737,1856.06947428821,1586.29713647413,1469.02142292254
"O95373",756.002025490452,753.316945344318,718.584896855903,842.690857477227
"O95433",228.926666666667,155.288333333333,110.651666666667,152.035
"O95573",154.92,695.444929469008,153.178346573428,866.937753268987
"O95747",172.904230239066,224.526666666667,176.150424960708,119.292388011277
"O95782",670.160298226212,384.425721985014,458.193799971696,689.999846046732
"O95819",320.529699245295,709.942128485633,157.234143769288,151.90358186585
"P00338",3625.06736552106,2044.06894746168,2912.83438004912,2343.75126430626
"P00387",200.547857142857,144.352622777142,96.4830839909974,274.44232965321
"P00441",303.15,192.31,151.468333333334,266.869761904762
"P00491",153.93793530992,159.873891678563,136.500003138383,166.683367960424
"P00558",2524.36296865592,1822.42270825436,2650.05657087876,1682.036317054
"P00568",136.69,72.58,140.761640582376,251.372026553938
"P01111",594.591604140288,431.208131103988,404.249906360548,399.823578699696
"P02533",471.718267775077,665.04328581728,1196.57581434886,1719.29529411747
"P02545",995.982806170505,1813.55954895965,857.285728031015,2430.81372467116
"P02751",7787.65648389975,8977.0560715423,8051.5358794847,9224.7233633686
"P02768",257.019928409782,356.063352459431,368.278037193675,552.816736783423
"P02786",985.338261802585,298.503201823842,681.145351719116,550.06658369551
"P04075",2735.90902391709,1917.4240753373,2580.3937876882,1738.57952084627
"P04083",2334.8247193546,1598.75127600701,1445.07667322046,2445.00610218448
"P04264",3402.62138841409,3306.95885724236,4221.7119293847,4030.29757036225
"P04271",607.663076923077,260.803333333334,343.892142857143,360.961211880375
"P04406",9837.13128217346,7490.12368656039,8126.9916449508,7369.70335193492
"P04632",477.210714285715,716.808991085177,731.762337451014,301.912117381225
"P04792",279.795,497.713351227079,320.226386542919,345.245388309343
"P04843",241.634232529679,697.008519079534,342.39703426368,938.567460202271
"P04844",284.375,393.963895504568,341.834482432581,902.524231792874
"P04899",2803.43381333097,2563.15513896488,2402.82901499352,2532.3044171815
"P05023",6767.29541974809,5235.60522222474,6215.04525231985,4380.84095086454
"P05106",713.637066951829,1122.19394334421,669.171882737522,1123.89135962513
