,WM115,WM266-4,WM793,WM1205Lu
DHX38,4334,1275,16843,2094
DHX40,4365,2025,9804,1437
DHX40P1,0,0,88,6
DHX57,1950,965,9563,897
DHX58,241,218,914,125
DHX8,5426,1534,18358,1418
DHX9,20675,5900,34712,9728
DHX9P1,0,0,1,0
DIABLO,994,341,3366,299
DIAPH1,8689,2522,29995,7223
DIAPH2,1424,896,7927,52
DIAPH2-AS1,197,1,243,1
DIAPH3,1818,1457,328,1623
DIAPH3-AS1,0,0,0,1
DIAPH3-AS2,0,0,0,0
DICER1,6453,3115,22171,1406
DICER1-AS1,219,102,289,29
DIDO1,5646,2387,51527,4311
DIEXF,1472,519,25939,534
DIMT1,2581,891,8439,1069
DIO1,32,2,3,1
DIO2,52,5,53,8
DIO2-AS1,0,0,0,0
DIO3,0,0,0,0
DIO3OS,0,0,0,0
DIP2A,4462,1738,17969,1284
DIP2A-IT1,12,5,66,2
DIP2B,3918,2991,8881,1270
DIP2C,2326,1933,8143,1595
DIRAS1,3505,1302,3275,563
DIRAS2,0,0,0,1
DIRAS3,44,6,8,13
DIRC1,0,0,0,0
DIRC2,782,484,2744,318
DIRC3,133,36,10,49
DIRC3-AS1,135,0,19,189
DIS3,4460,2066,51372,1825
DIS3L,1244,1092,3105,530
DIS3L2,1620,474,5495,811
DIS3L2P1,0,0,0,0
DISC1,2288,702,924,49
DISC1-IT1,31,0,77,1
DISC1FP1,0,66,3,0
DISP1,606,208,1612,133
DISP2,264,3,592,134
DISP3,11,10,24,10
DIXDC1,2405,617,1299,1036
DKC1,5584,2318,16996,2668
DKK1,2741,91,161333,122
DKK2,110,0,392,11
DKK3,42007,2836,26113,22971
DKK4,0,0,3,0
DKKL1,19,0,35,6
DKKL1P1,0,0,0,0
DLAT,2637,1786,6398,1724
DLC1,12493,1623,27152,1055
DLD,8327,5097,19855,3773
DLEC1,6,18,178,2
DLEC1P1,0,0,1,0
DLEU1,853,647,571,218
DLEU1-AS1,0,0,0,0
DLEU2,267,502,1613,473
DLEU2L,96,70,63,19
DLEU7,54,69,2,4
DLEU7-AS1,6,3,3,0
DLG1,4039,2006,20879,2281
DLG1-AS1,1,0,8,0
DLG2,91,19,62,21
DLG3,1165,313,1426,865
DLG3-AS1,1,0,0,1
DLG4,2371,428,10217,923
DLG5,2939,1609,19685,2400
DLG5-AS1,10,0,89,18
DLGAP1,308,8,20,71
DLGAP1-AS1,261,48,1042,63
DLGAP1-AS2,310,89,8372,163
DLGAP1-AS3,0,0,0,0
DLGAP1-AS4,2,0,0,0
DLGAP1-AS5,0,0,1,0
DLGAP2,31,71,1,0
DLGAP2-AS1,8,26,0,0
DLGAP3,2,8,38,12
DLGAP4,7105,1042,34653,3651
DLGAP4-AS1,35,17,133,5
DLGAP5,4256,2562,144,2753
DLGAP5P1,0,0,0,0
DLK1,0,0,1,1
DLK2,63,68,581,140
DLL1,921,33,27,51
DLL3,169,3828,625,120
DLL4,4,0,62,92
DLST,6061,3218,24157,3146
DLX1,4533,661,2998,1349
DLX2,863,91,7719,445
DLX3,7,1,3,0
DLX4,6,0,661,48
DLX5,138,9,261,53
DLX6,79,1,252,94
DLX6-AS1,17,2,188,16
DMAC1,902,492,2269,528
DMAC2,1813,913,5777,974
DMAP1,2667,969,3230,830
DMBT1,4,11,83,48
DMBT1P1,1,0,11,0
DMBX1,1,5,89,138
DMC1,48,1,50,24
DMD,7927,708,2643,32
DMD-AS3,0,0,0,0
DMGDH,10,26,135,1
DMKN,11,274,1396,1
DMP1,1,0,0,0
DMPK,3250,782,30931,617
DMRT1,0,0,1,0
DMRT2,201,681,534,2
DMRT3,0,0,0,0
DMRTA1,1,1,856,759
DMRTA2,33,125,138,4
DMRTB1,1,0,0,0
DMRTC1,0,0,0,0
DMRTC1B,0,0,0,0
DMRTC2,0,0,0,0
DMTF1,4952,1612,36944,2010
DMTN,1200,279,3619,267
DMWD,2115,559,29799,1173
DMXL1,3577,1499,8163,1068
DMXL2,4006,1774,4184,1719
DNA2,548,664,823,560
DNAAF1,40,10,88,6
DNAAF2,1141,383,1988,288
DNAAF3,21,12,97,13
DNAAF4,27,0,54,5
DNAAF4-CCPG1,0,0,0,0
DNAAF5,3473,1083,34050,2900
DNAH1,575,85,5597,79
DNAH10,176,25,1584,56
DNAH10OS,189,10,614,27
DNAH11,17,177,1999,8
DNAH12,13,10,80,2
DNAH14,870,513,5080,321
DNAH17,135,35,69,74
DNAH17-AS1,3,0,25,0
DNAH2,82,607,3394,13
DNAH3,17,14,4,0
DNAH5,20,4,401,56
DNAH6,29,22,173,38
DNAH7,108,11,193,2
DNAH8,11,0,3,36
DNAH9,352,199,29,1169
DNAI1,28,0,24,1
DNAI2,0,37,0,0
DNAJA1,11241,3283,53897,12779
DNAJA1P1,0,0,0,0
DNAJA1P2,0,0,0,0
DNAJA1P3,0,0,2,0
DNAJA1P4,1,0,0,0
DNAJA1P5,0,0,0,0
DNAJA1P6,2,0,0,0
DNAJA2,4059,1092,19152,2082
DNAJA3,3555,1503,15342,2021
DNAJA4,67,561,6,13
DNAJB1,8231,2329,29094,6188
DNAJB11,11429,4239,17979,4899
DNAJB12,1604,768,13427,1815
DNAJB13,0,1,119,1
DNAJB14,4557,1700,11108,1485
DNAJB1P1,0,0,1,0
DNAJB2,2753,928,21759,2749
DNAJB3,0,0,0,0
DNAJB4,948,187,6759,360
DNAJB5,1482,182,2195,550
DNAJB5P1,0,0,0,0
DNAJB6,10765,3539,87853,5171
DNAJB7,21,13,11,6
DNAJB8,0,0,0,0
DNAJB8-AS1,0,0,1,0
DNAJB9,2017,473,27365,640
DNAJC1,554,644,5195,611
DNAJC10,15216,5004,29883,7521
DNAJC11,1688,741,17050,1458
DNAJC12,43,7,1012,0
DNAJC13,7634,3985,17627,4352
DNAJC14,2268,750,3743,790
DNAJC15,1376,639,9128,867
DNAJC16,1786,487,4201,568
DNAJC17,737,411,1251,365
DNAJC18,798,226,2003,390
DNAJC19,1192,531,4737,453
DNAJC19P1,0,0,0,0
DNAJC19P2,0,0,0,0
DNAJC19P3,0,0,0,0
DNAJC19P4,0,0,0,0
DNAJC19P5,13,22,62,6
DNAJC19P6,0,0,0,0
DNAJC19P7,1,0,0,0
DNAJC19P8,0,0,0,0
DNAJC19P9,0,0,33,0
DNAJC2,4302,1178,22574,1582
DNAJC21,2466,842,12716,2678
DNAJC22,644,671,603,217
DNAJC24,2090,532,6084,505
DNAJC25,1017,191,4498,302
DNAJC25-GNG10,0,0,1,0
DNAJC27,409,253,4080,189
DNAJC27-AS1,18,19,104,8
DNAJC28,124,46,75,17
DNAJC3,5927,3078,18523,4655
DNAJC30,849,226,2680,628
DNAJC4,1333,715,2693,385
DNAJC5,7055,1773,51213,4917
DNAJC5B,1,3,75,0
DNAJC5G,0,0,27,0
DNAJC6,1392,468,4486,501
DNAJC7,4914,1642,16836,2047
DNAJC8,7014,3178,14546,3581
DNAJC8P1,0,0,1,0
DNAJC9,1252,903,5302,1324
DNAJC9-AS1,22,0,120,4
DNAL1,1712,522,3197,395
DNAL4,835,202,3421,158
DNALI1,16,0,6,0
DNASE1,1546,278,10587,485
DNASE1L1,1249,503,4381,418
DNASE1L2,51,10,837,39
DNASE1L3,0,0,5,0
DNASE2,3084,2000,1865,715
DNASE2B,2,0,0,0
DND1,0,0,1304,0
DND1P1,23,22,64,26
DNER,2115,42,1633,189
DNHD1,1201,462,25600,194
DNLZ,11,2,61,8
DNM1,1208,546,10976,2143
DNM1L,5322,1906,9818,5672
DNM1P17,0,0,0,0
DNM1P24,0,0,0,0
DNM1P28,0,0,0,0
DNM1P30,0,0,0,0
DNM1P31,0,0,0,0
DNM1P32,0,0,0,0
DNM1P33,0,0,5,0
DNM1P34,1,8,52,0
DNM1P35,55,15,51,0
DNM1P38,0,0,7,0
DNM1P41,114,113,71,2
DNM1P46,59,18,99,21
DNM1P47,137,38,262,14
DNM1P48,0,0,0,0
DNM1P49,0,0,0,0
DNM1P50,0,0,0,0
DNM1P51,179,42,258,17
DNM2,6018,2552,23742,3850
DNM3,136,37,128,198
DNM3-IT1,0,0,1,0
DNM3OS,100,9,3460,7
DNMBP,1972,553,11037,2300
DNMBP-AS1,1,4,21,1
DNMT1,14714,5706,18966,8247
DNMT3A,3545,1252,21235,980
DNMT3B,295,315,1308,178
DNMT3L,0,0,5,0
DNPEP,1871,766,17197,1528
DNPH1,788,975,3104,363
DNTT,2,6,0,0
DNTTIP1,1164,470,32174,1431
DNTTIP2,2480,894,17721,1790
DOC2A,15,73,300,51
DOC2B,0,0,13,0
DOC2GP,1,1,89,3
DOCK1,6861,2270,29242,3536
DOCK10,4337,4860,1579,767
DOCK11,675,427,4737,594
DOCK11P1,0,0,6,0
DOCK2,20,53,4,8
DOCK3,106,53,93,113
DOCK4,4765,2206,8502,1148
DOCK4-AS1,2,4,0,2
DOCK5,10253,1024,74604,3317
DOCK6,1060,551,24460,680
DOCK7,5091,4238,12261,2870
DOCK8,62,16,26,0
DOCK9,1723,998,7103,895
DOCK9-AS1,1,0,0,0
DOHH,687,250,5336,568
DOK1,1607,177,723,450
DOK2,3,4,1,1
DOK3,223,20,2464,177
DOK4,872,449,3404,198
DOK5,347,0,36,6
DOK6,1561,0,1450,35
DOK7,5,11,54,3
DOLK,1887,602,2948,672
DOLPP1,1329,396,2860,739
DONSON,1995,1158,8440,1591
DOPEY1,1329,624,4738,554
DOPEY2,742,446,5352,511
DOT1L,3251,2007,39878,2246
DPAGT1,2656,915,8351,988
DPCD,525,126,1096,185
DPEP1,1,30,4,0
DPEP2,0,1,1,0
DPEP3,0,0,0,0
DPF1,188,62,394,208
DPF2,3379,1025,18283,1588
DPF3,100,25,122,100
DPH1,1540,808,10468,432
DPH2,1977,863,15405,593
DPH3,1903,929,15364,877
DPH3P1,0,0,1,0
DPH3P2,0,0,0,0
DPH5,492,280,2174,400
DPH6,521,359,847,127
DPH7,1352,682,4445,409
DPM1,2475,1169,25867,1616
DPM2,1985,538,10873,854
DPM3,318,134,1345,272
DPP10,0,1,12,0
DPP10-AS1,0,0,1,0
DPP10-AS2,0,0,0,0
DPP10-AS3,0,0,0,0
DPP3,3078,823,2726,956
DPP3P1,0,0,0,0
DPP3P2,0,0,1,0
DPP4,14,6,35,2
DPP6,0,0,1759,0
DPP7,3576,2354,19243,1564
DPP8,3970,1274,19692,1177
DPP9,3750,1260,22915,3378
DPP9-AS1,30,12,46,6
DPPA2,0,0,0,0
DPPA2P1,0,0,0,0
DPPA2P2,0,0,1,0
DPPA2P3,0,3,0,0
DPPA2P4,0,0,1,0
DPPA3,0,0,0,0
DPPA3P1,0,0,2,0
DPPA3P2,0,0,1,0
DPPA3P3,0,0,0,0
DPPA4,14,30,53,0
DPPA5,0,0,2,0
DPPA5P1,0,0,0,0
DPPA5P2,0,0,0,0
DPPA5P4,0,0,2,0
DPRX,0,0,3,0
DPRXP1,0,0,0,0
DPRXP2,0,0,0,0
DPRXP4,7,10,39,1
DPRXP5,0,8,0,0
DPRXP6,0,0,0,0
DPRXP7,0,0,0,0
DPT,8,0,0,0
DPY19L1,21607,4916,35724,13498
DPY19L1P1,309,94,1160,91
DPY19L1P2,36,8,139,22
DPY19L2,458,336,343,52
DPY19L2P1,502,138,154,445
DPY19L2P2,1113,754,867,915
DPY19L2P3,165,96,380,134
DPY19L2P4,81,16,136,11
DPY19L3,7384,2808,15984,1141
DPY19L4,3819,1333,9086,3125
DPY30,1683,758,2410,625
DPYD,6703,1318,7121,190
DPYD-AS1,9,0,1,0
DPYD-AS2,3,0,0,1
DPYD-IT1,7,0,54,0
DPYS,10,8,11,7
DPYSL2,6898,2047,2601,5033
DPYSL3,4584,3699,2434,5416
DPYSL4,301,4,4293,1
DPYSL5,2,1,22,1223
DQX1,103,24,127,37
DR1,2823,1102,15058,2916
DRAM1,1012,906,11188,575
DRAM2,3118,1136,8151,542
DRAP1,9201,1927,54703,6481
DRAXIN,30,23,177,0
DRAXINP1,0,0,0,0
DRC1,3,0,3,12
DRC3,716,144,424,44
DRC7,0,0,12,0
DRD1,0,0,0,1
DRD2,324,0,383,2331
DRD3,0,0,0,0
DRD4,9,8,614,9
DRD5,0,0,1,0
DRD5P1,0,0,0,0
DRD5P2,0,0,0,0
DRG1,3633,1493,17911,1214
DRG2,1887,672,11543,744
DRGX,0,0,2,0
DRICH1,0,0,78,0
DROSHA,3788,1441,6692,3127
DRP2,103,31,8,22
DSC1,0,0,2,0
DSC2,6,6,23,49
DSC3,14,16,92,2
DSCAM,1,0,11,0
DSCAM-AS1,0,0,5,2
DSCAM-IT1,0,0,1,0
DSCAML1,3,0,1,0
DSCAS,0,0,0,1
DSCC1,764,613,99,1313
DSCR10,0,0,209,0
DSCR4,1,38,456,0
DSCR4-IT1,0,4,38,0
DSCR8,24,453,1801,0
DSCR9,18,7,58,7
DSE,624,19,9491,628
DSEL,1694,15,4996,39
DSG1,0,0,4,0
DSG1-AS1,2,0,9,0
DSG2,2870,1331,4996,4503
DSG2-AS1,3,0,0,6
DSG3,28,6,35,1
DSG4,0,0,0,0
DSN1,1969,1468,2366,1220
DSP,193,30,11758,503
DSPP,2,0,0,0
DST,21075,7392,35511,7992
DSTN,32668,9322,35621,7563
DSTNP1,151,63,0,42
DSTNP2,280,73,472,134
DSTNP4,0,0,0,0
DSTNP5,0,0,0,0
DSTYK,7020,3167,11650,819
DTD1,2377,1531,7196,1018
DTD2,1330,429,1855,310
DTHD1,0,0,0,0
DTL,2645,1688,200,1593
DTNA,697,12,42,189
DTNB,338,324,2059,232
DTNBP1,1066,325,545,182
DTWD1,1940,399,5023,258
DTWD2,473,183,2332,90
DTX1,481,94,3278,47
DTX2,909,143,9288,483
DTX2P1,119,30,1403,4
DTX2P1-UPK3BP1-PMS2P11,171,13,1067,48
DTX3,1762,754,5416,289
DTX3L,1510,1392,9296,1375
DTX4,213,130,75,51
DTYMK,2688,1339,1990,4932
DUBR,511,194,326,115
DUOX1,31,1,118,17
DUOX2,53,26,244,0
DUOXA1,1,0,98,0
DUOXA2,0,0,1,0
DUPD1,0,0,0,0
DUS1L,3186,1482,12274,2076
DUS2,711,251,1682,294
DUS3L,900,602,5600,924
DUS4L,677,369,3973,325
DUSP1,935,135,4196,765
DUSP10,807,534,3552,321
DUSP11,1584,520,7773,684
DUSP12,1840,493,6244,608
DUSP12P1,0,0,2,0
DUSP13,1,0,2,0
DUSP14,2947,1097,7662,988
DUSP15,65,152,1014,26
DUSP16,699,459,5274,924
DUSP18,337,62,1214,95
DUSP19,401,170,168,51
DUSP2,34,72,5541,43
DUSP21,0,0,0,0
DUSP22,1793,471,4004,387
DUSP23,332,73,2303,506
DUSP26,0,0,6,0
DUSP27,2,2,0,0
DUSP28,313,121,1720,191
DUSP3,2721,1411,6869,1391
DUSP4,57218,18899,39480,2213
DUSP5,595,320,5742,669
DUSP5P1,29,51,411,33
DUSP5P2,0,0,0,0
DUSP6,17502,6357,63439,3655
DUSP7,1594,305,9625,966
DUSP8,31,14,11981,245
DUSP8P3,0,0,6,0
DUSP8P4,0,0,4,0
DUSP8P5,99,37,1093,50
DUSP9,69,31,627,24
DUT,4405,3598,3221,2754
DUTP1,2,0,1,1
DUTP2,3,0,0,2
DUTP3,0,0,0,0
DUTP4,0,0,0,0
DUTP5,0,0,0,0
DUTP6,4,0,30,2
DUTP7,1,0,0,2
DUTP8,0,0,0,0
DUX4,0,0,5,0
DUX4L1,0,0,0,0
DUX4L10,0,0,0,0
DUX4L11,0,0,0,0
DUX4L12,0,0,0,0
DUX4L13,0,0,0,0
DUX4L14,0,0,0,0
DUX4L15,0,0,0,0
DUX4L16,0,0,0,0
DUX4L17,0,0,0,0
DUX4L18,0,0,0,0
DUX4L19,0,0,0,0
DUX4L2,0,0,0,0
DUX4L20,0,0,0,0
DUX4L21,0,0,0,0
DUX4L22,0,0,0,0
DUX4L23,0,0,0,0
DUX4L24,0,0,0,0
DUX4L25,0,0,0,0
DUX4L26,6,0,15,2
DUX4L27,0,1,1,0
DUX4L3,0,0,0,0
DUX4L4,0,0,0,0
DUX4L5,0,0,0,0
DUX4L6,0,0,0,0
DUX4L7,0,0,1,0
DUX4L8,0,0,3,0
DUX4L9,0,6,3,0
DUXA,0,0,0,0
DUXAP1,2,0,2,3
DUXAP2,0,0,0,0
DUXAP3,0,0,0,0
DUXAP4,0,0,1,0
DUXAP5,0,0,0,0
DUXAP6,0,0,0,0
DUXAP7,1,0,2,0
DUXAP8,0,0,0,274
DUXAP8,0,0,0,0
DUXAP9,508,393,6951,50
DVL1,988,578,21563,1688
DVL2,2698,1188,16350,1500
DVL3,6066,2242,46020,3360
DXO,946,412,3241,267
DYDC1,1,0,44,0
DYDC2,0,5,10,1
DYM,1891,1236,7806,746
DYNAP,16,1,41,0
DYNC1H1,39227,15609,69543,13125
DYNC1I1,266,112,659,90
DYNC1I2,9065,3365,17726,5339
DYNC1I2P1,79,12,292,12
DYNC1LI1,3066,1244,12875,1190
DYNC1LI2,11150,3087,38646,3186
DYNC2H1,2074,749,6858,401
DYNC2LI1,910,526,2683,163
DYNLL1,12317,4998,72398,5709
DYNLL1P1,0,0,2,1
DYNLL1P2,0,0,0,0
DYNLL1P3,0,0,0,0
DYNLL1P4,1,0,21,0
DYNLL1P5,0,0,0,0
DYNLL1P6,0,0,0,0
DYNLL1P7,0,0,0,0
DYNLL2,10822,2744,27937,3152
DYNLRB1,3123,1252,38356,2880
DYNLRB2,0,0,3,3
DYNLT1,3337,1118,16519,1250
DYNLT3,4876,2578,24112,3207
DYNLT3P1,0,0,0,0
DYNLT3P2,1,0,73,3
DYRK1A,4163,1731,12773,1029
DYRK1B,47,8,1560,39
DYRK2,3962,971,4137,1613
DYRK3,372,179,20145,336
DYRK4,707,215,3601,374
DYSF,17,24,81,128
DYTN,0,0,0,0
DZANK1,180,136,428,59
DZIP1,823,379,8972,1549
DZIP1L,479,427,2593,1025
DZIP3,1263,752,816,775
E2F1,1548,1042,540,2085
E2F2,541,396,24,545
E2F3,5192,1030,10255,663
E2F3-IT1,2,0,27,0
E2F3P1,1,0,4,0
E2F3P2,15,2,64,0
E2F4,3513,988,27315,1754
E2F4P1,0,0,0,0
E2F5,531,180,5881,403
E2F6,2688,919,9755,695
E2F6P1,0,0,2,0
E2F6P2,0,0,0,0
E2F6P3,0,0,1,0
E2F6P4,0,0,0,0
E2F7,4400,2391,7206,1025
E2F8,1436,920,16,1252
E4F1,1447,514,4054,689
EAF1,2046,466,30342,626
EAF1-AS1,24,0,142,4
EAF2,70,81,375,48
EAPP,1780,617,12228,486
EARS2,2467,782,9231,899
EBAG9,999,302,1592,505
EBAG9P1,19,0,41,0
EBF1,2219,398,3299,732
EBF2,8,1,14,1
EBF3,8,690,1245,14
EBF4,378,4,3199,230
EBI3,0,0,233,1
EBLN1,0,0,6,0
EBLN2,158,29,664,31
EBLN3P,4510,1497,30825,1967
EBNA1BP2,5515,1420,18809,2095
EBP,1228,512,1586,435
EBPL,507,384,1060,577
ECD,1430,1029,11648,1269
ECE1,25234,2088,26954,11979
ECE2,317,111,7291,168
ECEL1,0,0,1,0
ECEL1P1,0,0,0,0
ECEL1P2,0,0,0,0
ECEL1P3,1,0,2,0
ECH1,3407,1769,18940,1051
ECHDC1,6430,2275,13227,971
ECHDC2,435,1231,1650,36
ECHDC3,80,171,2376,146
ECHS1,2539,2038,19213,1550
ECI1,655,481,4049,534
ECI2,3452,902,6547,1444
ECM1,7132,3709,4913,6535
ECM1P1,0,0,0,0
ECM1P2,0,0,0,0
ECM2,49,0,11,9
ECPAS,6819,1925,35941,2669
ECSCR,2,0,0,0
ECSIT,958,719,2339,474
ECT2,4797,3080,4583,4646
ECT2L,10,4,64,2
EDA,2,4,58,135
EDA2R,23,766,5787,288
EDAR,0,0,5,0
EDARADD,8,9,305,162
EDC3,2636,899,22920,938
EDC4,2902,876,17958,1303
EDDM3A,0,0,0,0
EDDM3B,2,0,0,0
EDDM3CP,0,0,0,0
EDDM3DP,0,0,0,0
EDEM1,7944,5798,26183,5638
EDEM2,2255,1232,8453,895
EDEM3,8193,1732,26699,2134
EDF1,6189,2551,34193,3391
EDIL3,3074,8,1578,16
EDN1,58,9,53,1
EDN2,0,0,1,0
EDN3,0,0,0,0
EDNRA,30,3,88,9
EDNRB,12221,17171,2245,144
EDNRB-AS1,0,0,1,0
EDRF1,999,819,6124,558
EDRF1-AS1,30,5,4,9
EEA1,3689,1823,14389,1974
EED,2213,1053,4623,845
EEF1A1,437511,186287,663437,119393
EEF1A1P1,0,0,0,0
EEF1A1P10,0,6,5,3
EEF1A1P11,12,7,43,3
EEF1A1P12,4,1,27,3
EEF1A1P13,56,22,143,11
EEF1A1P14,1,0,2,1
EEF1A1P15,0,0,0,1
EEF1A1P16,1,1,5,6
EEF1A1P17,0,0,0,2
EEF1A1P19,51,48,57,24
EEF1A1P2,0,0,0,0
EEF1A1P20,0,0,0,0
EEF1A1P21,0,0,0,0
EEF1A1P22,0,0,4,2
EEF1A1P24,0,0,1,1
EEF1A1P25,0,0,1,3
EEF1A1P26,0,0,0,0
EEF1A1P27,6,0,0,0
EEF1A1P28,0,0,2,0
EEF1A1P29,0,0,2,0
EEF1A1P3,2,0,46,2
EEF1A1P30,1,0,0,0
EEF1A1P31,0,0,0,0
EEF1A1P32,2,0,0,0
EEF1A1P33,0,0,0,0
EEF1A1P34,0,0,0,7
EEF1A1P36,0,0,0,0
EEF1A1P37,0,0,0,0
EEF1A1P38,0,0,0,3
EEF1A1P39,2,0,6,0
EEF1A1P4,1,0,14,8
EEF1A1P40,0,0,0,0
EEF1A1P41,0,0,0,0
EEF1A1P42,0,0,0,0
EEF1A1P5,166,101,401,2733
EEF1A1P6,230,100,250,49
EEF1A1P7,0,0,0,0
EEF1A1P8,1,0,4,0
EEF1A1P9,2,2,41,5
EEF1A2,91,102,90876,961
EEF1AKMT1,171,68,1520,106
EEF1AKMT2,483,422,1982,366
EEF1AKMT3,776,128,4336,128
EEF1B2,9542,5092,31819,5528
EEF1B2P1,4,0,0,1
EEF1B2P2,0,0,0,0
EEF1B2P3,11,26,92,28
EEF1B2P4,0,0,0,0
EEF1B2P5,0,0,0,0
EEF1B2P6,0,0,12,2
EEF1B2P7,0,0,0,0
EEF1B2P8,2,0,0,0
EEF1D,5742,2740,70487,6387
EEF1DP1,2,0,1,3
EEF1DP2,0,0,121,0
EEF1DP3,24,0,15,11
EEF1DP4,12,0,3,0
EEF1DP5,0,0,1,0
EEF1DP6,0,0,0,0
EEF1DP7,5,0,16,1
EEF1DP8,0,0,0,1
EEF1E1,1698,443,2257,332
EEF1E1-BLOC1S5,0,0,4,0
EEF1E1P1,5,1,11,0
EEF1G,6,5,40,21
EEF1GP1,17,0,5,0
EEF1GP2,0,0,0,0
EEF1GP3,0,0,0,0
EEF1GP4,0,0,0,0
EEF1GP5,0,0,0,1
EEF1GP6,0,0,0,1
EEF1GP7,0,0,5,0
EEF1GP8,0,0,0,0
EEF2,66928,35909,247293,47840
EEF2K,1486,803,2599,879
EEF2KMT,524,224,2756,320
EEFSEC,691,595,2072,478
EEPD1,80,33,1256,227
EFCAB1,0,0,0,0
EFCAB10,43,19,43,13
EFCAB11,285,184,309,190
EFCAB12,25,28,150,5
EFCAB13,906,262,591,144
EFCAB14,5260,2592,28158,2649
EFCAB14-AS1,12,6,2,5
EFCAB14P1,0,0,3,2
EFCAB2,380,69,2029,259
EFCAB3,3,0,3,0
EFCAB5,48,15,46,10
EFCAB6,65,3,638,3
EFCAB6-AS1,1,0,2,0
EFCAB7,750,316,484,142
EFCAB8,1,0,69,6
EFCAB9,28,0,29,6
EFCC1,1,0,0,5
EFEMP1,1278,27,6946,33
EFEMP2,1777,653,1195,598
EFHB,3,0,23,1
EFHC1,2348,772,2671,653
EFHC2,3,0,149,2
EFHD1,2465,136,1541,136
EFHD2,5817,1054,19638,3203
EFL1,1004,522,6847,612
EFL1P1,0,0,9,1
EFL1P2,0,0,0,0
EFNA1,86,16,5043,149
EFNA2,3,0,401,0
EFNA3,44,4,725,22
EFNA4,457,23,859,123
EFNA5,1470,907,1559,874
EFNB1,678,167,4742,315
EFNB2,1889,16,22302,1195
EFNB3,771,276,4674,262
EFR3A,5901,2318,20946,5810
EFR3B,1399,593,331,511
EFS,3,123,8,3
EFTUD2,9470,3413,33760,3339
EGF,440,307,72,6
EGFEM1P,219,317,60,7
EGFL6,0,0,0,0
EGFL7,2123,511,7528,693
EGFL8,493,78,195,39
EGFLAM,105,17,19,149
EGFLAM-AS1,0,0,2,1
EGFLAM-AS2,0,0,0,0
EGFLAM-AS3,0,0,0,0
EGFLAM-AS4,0,0,8,0
EGFR,850,30,44854,1754
EGFR-AS1,1,0,25,0
EGLN1,5785,2920,30159,1886
EGLN1P1,0,0,0,0
EGLN2,1394,495,2319,505
EGLN3,103,3,143,19
EGLN3-AS1,1,0,0,0
EGLN3P1,1,0,0,3
EGOT,1,0,0,0
EGR1,9884,1126,267613,3747
EGR2,179,42,19836,588
EGR3,5005,995,86758,2236
EGR4,0,4,5017,53
EHBP1,12072,3182,18741,6128
EHBP1L1,4866,2550,12894,3290
EHD1,1751,1067,21865,2899
EHD2,2962,925,13005,5401
EHD3,4188,257,643,1333
EHD4,12188,1507,20666,1987
EHD4-AS1,7,0,7,0
EHF,205,109,1083,16
EHHADH,855,490,937,342
EHHADH-AS1,1,0,5,0
EHMT1,3376,1098,7826,1369
EHMT2,3700,1100,2676,1068
EHMT2-AS1,2,0,3,0
EI24,8903,3658,32904,3730
EI24P1,0,0,0,0
EI24P2,0,0,10,0
EI24P3,0,0,0,0
EI24P4,0,0,0,0
EID1,18930,5361,27222,5850
EID2,928,285,4827,377
EID2B,208,70,649,70
EID3,52,0,481,4
EIF1,17832,5865,299766,8060
EIF1AD,2159,647,9316,680
EIF1AX,7451,3660,21730,2953
EIF1AX-AS1,5,0,0,0
EIF1AXP1,64,50,374,24
EIF1AXP2,0,0,0,0
EIF1AY,1,0,5662,949
EIF1B,2180,972,26718,652
EIF1B-AS1,100,33,71,11
EIF1P1,0,0,0,0
EIF1P2,0,0,0,0
EIF1P3,0,0,1,0
EIF1P4,1,0,0,0
EIF1P5,0,0,0,0
EIF1P6,7,11,600,2
EIF1P7,1,0,5,1
EIF2A,2460,1462,27921,2866
EIF2AK1,13972,3436,53462,4703
EIF2AK2,4476,1646,31764,2759
EIF2AK3,2051,661,11318,1034
EIF2AK4,15299,3706,19983,3572
EIF2AP4,0,0,0,0
EIF2B1,3506,1510,14769,1283
EIF2B2,1530,1070,15585,1254
EIF2B3,1865,622,4286,635
EIF2B4,2562,913,9124,1146
EIF2B5,4193,1816,21796,2109
EIF2D,2646,1367,11265,1167
EIF2S1,6869,3223,21311,3776
EIF2S2,7674,3747,74227,3874
EIF2S2P2,1,0,9,0
EIF2S2P3,6,2,426,5
EIF2S2P4,108,95,775,19
EIF2S2P5,6,0,0,0
EIF2S3,7435,3788,27267,3532
EIF3A,19640,12066,103470,14947
EIF3B,26577,8716,141392,12602
EIF3C,986,321,2768,524
EIF3CL,10,26,57,13
EIF3D,9733,5755,51142,4610
EIF3E,11340,6643,30812,8656
EIF3EP1,39,0,109,28
EIF3EP2,0,0,1,0
EIF3F,6328,2717,24671,4981
EIF3FP1,0,13,4,2
EIF3FP3,121,59,298,12
EIF3G,6925,2426,36683,3640
EIF3H,8993,3226,42182,6202
EIF3I,11990,5051,47747,5090
EIF3IP1,0,0,0,0
EIF3J,4940,2322,23924,2924
EIF3K,5613,3147,11128,1963
EIF3KP1,19,2,3,1
EIF3KP2,0,0,0,0
EIF3KP3,0,0,0,0
EIF3L,8154,5881,23169,2821
EIF3LP1,0,0,0,0
EIF3LP2,1,1,0,0
EIF3LP3,0,0,15,0
