,WM115,WM266-4,WM793,WM1205Lu
ACOT6,0,0,1,1
ACOT7,2660,1194,10306,6117
ACOT8,1050,443,5924,393
ACOT9,2710,1309,15928,1234
ACOX1,2211,893,10491,1113
ACOX2,38,191,5,223
ACOX3,677,235,4029,289
ACOXL,4,0,4,0
ACP1,6784,2496,24100,1798
ACP2,2828,804,3529,1167
ACP4,3,4,0,6
ACP5,431,3115,8,5
ACP6,3272,822,12664,1798
ACPP,221,8,1027,5
ACR,0,0,126,0
ACRBP,9,15,461,11
ACRV1,50,19,23,25
ACSBG1,166,59,35,4
ACSBG2,17,4,2,5
ACSF2,356,457,772,581
ACSF3,1199,361,7231,506
ACSL1,3314,2091,19208,1976
ACSL3,15119,9778,102029,14389
ACSL4,5228,1808,19030,2934
ACSL5,29,43,2,8
ACSL6,82,15,2133,1
ACSM1,0,0,3,0
ACSM2A,0,0,5,0
ACSM2B,0,0,4,0
ACSM3,11,29,22,5
ACSM4,364,0,0,0
ACSM5,0,411,0,0
ACSM5P1,0,0,0,0
ACSM6,0,0,0,0
ACSS1,2644,1788,10587,1366
ACSS2,2718,2006,15046,1703
ACSS3,496,1555,0,1
ACTA1,14,2,98,5
ACTA2,416,336,54686,277
ACTA2-AS1,38,10,298,3
ACTB,205746,52607,558782,144407
ACTBL2,22,0,450,17
ACTBP1,0,0,0,0
ACTBP11,0,0,1,0
ACTBP12,6,0,11,0
ACTBP13,9,1,20,0
ACTBP14,0,0,4,2
ACTBP2,2,0,0,3
ACTBP6,0,0,0,0
ACTBP7,123,13,158,11
ACTBP8,0,0,0,0
ACTBP9,2,0,0,0
ACTC1,3,0,6,0
ACTG1,77799,46195,152241,55387
ACTG1P1,8,0,7,0
ACTG1P10,17,1,3,2
ACTG1P11,0,0,0,0
ACTG1P12,0,0,0,0
ACTG1P13,0,0,0,0
ACTG1P14,0,11,28,0
ACTG1P15,3,0,4,4
ACTG1P16,1,0,2,0
ACTG1P17,11,2,134,3
ACTG1P18,4,0,0,1
ACTG1P19,0,0,0,0
ACTG1P2,0,0,0,0
ACTG1P20,33,8,89,4
ACTG1P21,0,0,0,0
ACTG1P22,0,0,0,0
ACTG1P23,0,0,0,1
ACTG1P24,0,0,4,2
ACTG1P3,32,0,115,5
ACTG1P4,0,0,0,0
ACTG1P9,0,0,14,0
ACTG2,4,5,22,20
ACTL10,13,30,27,2
ACTL6A,5322,2526,20651,3226
ACTL6B,1,0,3,0
ACTL7A,1,0,0,0
ACTL7B,0,0,6,0
ACTL8,0,1,0,8
ACTL9,0,0,0,0
ACTN1,27890,8641,77386,22872
ACTN1-AS1,5,9,54,4
ACTN2,1816,517,3636,27
ACTN3,4,3,58,2
ACTN4,55573,8599,145101,40107
ACTN4P1,0,0,16,2
ACTN4P2,2,0,1,0
ACTR10,3169,1419,12956,1236
ACTR1A,4539,2159,20755,3353
ACTR1B,1382,1531,12941,2016
ACTR2,35073,11854,65370,18307
ACTR3,23761,7052,57145,14955
ACTR3B,768,354,9939,332
ACTR3BP1,0,0,0,0
ACTR3BP2,0,0,0,0
ACTR3BP3,0,0,0,0
ACTR3BP4,0,0,0,0
ACTR3BP5,0,0,0,0
ACTR3BP6,0,0,0,0
ACTR3C,12,1,75,1
ACTR3P2,0,0,0,0
ACTR3P3,0,0,0,0
ACTR5,458,229,2477,248
ACTR6,1881,762,6453,319
ACTR6P1,0,0,0,0
ACTR8,2092,690,6363,776
ACTRT1,0,0,0,0
ACTRT2,0,0,0,0
ACTRT3,27,98,94,15
ACVR1,4971,1480,24286,3563
ACVR1B,1620,411,2965,347
ACVR1C,41,74,491,43
ACVR2A,806,252,3899,157
ACVR2B,862,497,7548,236
ACVR2B-AS1,54,31,2733,14
ACVRL1,16,33,0,5
ACY1,338,239,1469,76
ACY3,16,4,77,2
ACYP1,327,510,822,195
ACYP2,638,75,2687,202
ADA,376,466,3890,229
ADA2,8,13,30,0
ADAD1,0,0,1,0
ADAD1P2,0,0,0,0
ADAD2,0,8,5,0
ADAL,1395,525,2843,424
ADAM10,24766,8766,22898,4987
ADAM11,131,117,1113,48
ADAM12,9750,2824,2401,7116
ADAM15,4319,2082,28122,2149
ADAM17,2841,1183,19047,1026
ADAM18,0,0,0,0
ADAM19,516,4581,562,3758
ADAM1A,0,0,0,0
ADAM1B,14,1,76,5
ADAM2,0,0,0,0
ADAM20,16,7,49,0
ADAM20P1,34,7,181,2
ADAM20P2,0,0,0,0
ADAM20P3,0,0,0,0
ADAM21,36,0,179,14
ADAM21P1,2,0,22,2
ADAM22,848,898,136,355
ADAM23,983,2302,4214,1802
ADAM24P,0,0,0,0
ADAM28,16,1,7,7
ADAM29,0,1,5,0
ADAM30,0,11,0,2
ADAM32,51,6,364,29
ADAM33,7,0,1,2
ADAM3A,5,3,27,0
ADAM3B,0,0,0,0
ADAM5,2,0,3,0
ADAM6,0,0,0,0
ADAM7,0,0,0,1
ADAM8,65,27,2090,65
ADAM9,15878,4420,23033,6536
ADAMDEC1,0,0,0,0
ADAMTS1,22174,3176,4735,851
ADAMTS10,7,9,146,5
ADAMTS12,118,3,1046,816
ADAMTS13,645,285,3029,156
ADAMTS14,1,2,29,50
ADAMTS15,2790,3,245,411
ADAMTS16,54,82,3255,662
ADAMTS17,2328,169,736,101
ADAMTS18,0,0,0,0
ADAMTS19,3,0,26,0
ADAMTS19-AS1,0,0,6,0
ADAMTS2,3,0,11,23
ADAMTS20,4,43,1,0
ADAMTS3,716,145,694,311
ADAMTS4,151,544,125,1
ADAMTS5,1242,441,81,5
ADAMTS6,176,102,984,71
ADAMTS7,3275,395,851,62
ADAMTS7P1,0,0,2,0
ADAMTS7P3,6,15,1,0
ADAMTS7P4,7,0,2,9
ADAMTS8,5,0,2,4
ADAMTS9,22049,53,4441,3691
ADAMTS9-AS1,62,3,10,33
ADAMTS9-AS2,29,0,2098,10
ADAMTSL1,35,2,15,0
ADAMTSL2,7,1,22,0
ADAMTSL3,111,29,871,0
ADAMTSL4,253,41,8977,75
ADAMTSL4-AS1,29,15,2146,13
ADAMTSL5,94,65,6855,301
ADAP1,95,49,700,66
ADAP2,4,0,145,6
ADAR,18759,4796,62839,6725
ADARB1,4908,844,20890,1740
ADARB2,0,0,222,0
ADARB2-AS1,0,0,835,0
ADAT1,2780,730,3655,756
ADAT2,1029,564,3445,147
ADAT3,228,64,475,156
ADCK1,375,294,1248,105
ADCK2,1055,560,7580,760
ADCK5,400,154,1535,480
ADCY1,2618,6778,11479,4196
ADCY10,0,8,32,0
ADCY10P1,388,82,2988,79
ADCY2,12,22,60,1
ADCY3,1981,1464,17999,3370
ADCY4,25,25,90,2
ADCY5,25,18,16,128
ADCY6,3179,1222,5302,566
ADCY7,287,112,7214,814
ADCY8,0,0,28,0
ADCY9,2569,1142,7063,1091
ADCYAP1,1,1,541,0
ADCYAP1R1,70,1,13,9
ADD1,11348,3549,35218,5805
ADD2,452,5,294,1034
ADD3,6147,4497,3631,2437
ADD3-AS1,19,9,11,7
ADGB,0,0,6,0
ADGRA1,0,0,4,0
ADGRA1-AS1,0,0,2,0
ADGRA2,2268,782,6259,1112
ADGRA3,3540,1314,20073,1131
ADGRB1,537,929,121,23
ADGRB2,2613,115,3264,537
ADGRB3,181,3,78,0
ADGRD1,6,4,55,6
ADGRD2,2,1,32,0
ADGRE1,2,0,9,7
ADGRE2,645,80,781,11
ADGRE3,0,0,1,1
ADGRE4P,6,1,37,0
ADGRE5,4479,1688,22015,2916
ADGRF1,18,33,99,1
ADGRF2,1,0,32,0
ADGRF3,28,11,46,13
ADGRF4,5,1,0,0
ADGRF5,8,4,0,0
ADGRF5P1,0,0,1,0
ADGRF5P2,0,0,0,0
ADGRG1,4715,6241,6862,1647
ADGRG2,67,1,217,38
ADGRG3,0,0,95,0
ADGRG4,4,0,1,1
ADGRG5,1,1,5,1
ADGRG6,6583,6060,21201,530
ADGRG7,1,0,0,11
ADGRL1,1745,983,31201,1382
ADGRL2,7726,2474,4902,481
ADGRL3,297,2,291,2
ADGRL3-AS1,0,0,0,0
ADGRL4,1654,109,16,0
ADGRV1,23,8,51,6
ADH1A,7,0,0,2
ADH1B,1,1,9,2
ADH1C,4,5,4,0
ADH4,8,0,0,0
ADH5,11185,2842,18703,3605
ADH5P2,0,0,0,0
ADH5P3,0,0,2,0
ADH5P4,1,0,18,2
ADH6,56,0,2,12
ADH7,0,0,0,0
ADHFE1,97,94,341,18
ADI1,7416,2621,1028,1305
ADIG,5,0,8,0
ADIPOQ,0,0,14,0
ADIPOQ-AS1,0,0,15,0
ADIPOR1,6451,2127,31192,3025
ADIPOR1P1,0,0,0,0
